#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: DDiscovery
#Serial Number: SN:210321B565AC
#Date Time: 2024-03-17 21:23:40.612.472.220
#Sample rate: 29994Hz
#Samples: 30000

Time (s),SPI MOSI,SPI MISO
-0.30152696,h00,h00
-0.30149362,h00,h00
-0.30146028,h00,h00
-0.30142694,h00,h00
-0.3013936,h00,h00
-0.30136026,h00,h00
-0.30132692,h00,h00
-0.30129358,h00,h00
-0.30126024,h00,h00
-0.3012269,h00,h00
-0.30119356,h00,h00
-0.30116022,h00,h00
-0.30112688,h00,h00
-0.30109354,h00,h00
-0.3010602,h00,h00
-0.30102686,h00,h00
-0.30099352,h00,h00
-0.30096018,h00,h00
-0.30092684,h00,h00
-0.3008935,h00,h00
-0.30086016,h00,h00
-0.30082682,h00,h00
-0.30079348,h00,h00
-0.30076014,h00,h00
-0.3007268,h00,h00
-0.30069346,h00,h00
-0.30066012,h00,h00
-0.30062678,h00,h00
-0.30059344,h00,h00
-0.3005601,h00,h00
-0.30052676,h00,h00
-0.30049342,h00,h00
-0.30046008,h00,h00
-0.30042674,h00,h00
-0.3003934,h00,h00
-0.30036006,h00,h00
-0.30032672,h00,h00
-0.30029338,h00,h00
-0.30026004,h00,h00
-0.3002267,h00,h00
-0.30019336,h00,h00
-0.30016002,h00,h00
-0.30012668,h00,h00
-0.30009334,h00,h00
-0.30006,h00,h00
-0.30002666,h00,h00
-0.29999332,h00,h00
-0.29995998,h00,h00
-0.29992664,h00,h00
-0.2998933,h00,h00
-0.29985996,h00,h00
-0.29982662,h00,h00
-0.29979328,h00,h00
-0.29975994,h00,h00
-0.2997266,h00,h00
-0.29969326,h00,h00
-0.29965992,h00,h00
-0.29962658,h00,h00
-0.29959324,h00,h00
-0.2995599,h00,h00
-0.29952656,h00,h00
-0.29949322,h00,h00
-0.29945988,h00,h00
-0.29942654,h00,h00
-0.2993932,h00,h00
-0.29935986,h00,h00
-0.29932652,h00,h00
-0.29929318,h00,h00
-0.29925984,h00,h00
-0.2992265,h00,h00
-0.29919316,h00,h00
-0.29915982,h00,h00
-0.29912648,h00,h00
-0.29909314,h00,h00
-0.2990598,h00,h00
-0.29902646,h00,h00
-0.29899312,h00,h00
-0.29895978,h00,h00
-0.29892644,h00,h00
-0.2988931,h00,h00
-0.29885976,h00,h00
-0.29882642,h00,h00
-0.29879308,h00,h00
-0.29875974,h00,h00
-0.2987264,h00,h00
-0.29869306,h00,h00
-0.29865972,h00,h00
-0.29862638,h00,h00
-0.29859304,h00,h00
-0.2985597,h00,h00
-0.29852636,h00,h00
-0.29849302,h00,h00
-0.29845968,h00,h00
-0.29842634,h00,h00
-0.298393,h00,h00
-0.29835966,h00,h00
-0.29832632,h00,h00
-0.29829298,h00,h00
-0.29825964,h00,h00
-0.2982263,h00,h00
-0.29819296,h00,h00
-0.29815962,h00,h00
-0.29812628,h00,h00
-0.29809294,h00,h00
-0.2980596,h00,h00
-0.29802626,h00,h00
-0.29799292,h00,h00
-0.29795958,h00,h00
-0.29792624,h00,h00
-0.2978929,h00,h00
-0.29785956,h00,h00
-0.29782622,h00,h00
-0.29779288,h00,h00
-0.29775954,h00,h00
-0.2977262,h00,h00
-0.29769286,h00,h00
-0.29765952,h00,h00
-0.29762618,h00,h00
-0.29759284,h00,h00
-0.2975595,h00,h00
-0.29752616,h00,h00
-0.29749282,h00,h00
-0.29745948,h00,h00
-0.29742614,h00,h00
-0.2973928,h00,h00
-0.29735946,h00,h00
-0.29732612,h00,h00
-0.29729278,h00,h00
-0.29725944,h00,h00
-0.2972261,h00,h00
-0.29719276,h00,h00
-0.29715942,h00,h00
-0.29712608,h00,h00
-0.29709274,h00,h00
-0.2970594,h00,h00
-0.29702606,h00,h00
-0.29699272,h00,h00
-0.29695938,h00,h00
-0.29692604,h00,h00
-0.2968927,h00,h00
-0.29685936,h00,h00
-0.29682602,h00,h00
-0.29679268,h00,h00
-0.29675934,h00,h00
-0.296726,h00,h00
-0.29669266,h00,h00
-0.29665932,h00,h00
-0.29662598,h00,h00
-0.29659264,h00,h00
-0.2965593,h00,h00
-0.29652596,h00,h00
-0.29649262,h00,h00
-0.29645928,h00,h00
-0.29642594,h00,h00
-0.2963926,h00,h00
-0.29635926,h00,h00
-0.29632592,h00,h00
-0.29629258,h00,h00
-0.29625924,h00,h00
-0.2962259,h00,h00
-0.29619256,h00,h00
-0.29615922,h00,h00
-0.29612588,h00,h00
-0.29609254,h00,h00
-0.2960592,h00,h00
-0.29602586,h00,h00
-0.29599252,h00,h00
-0.29595918,h00,h00
-0.29592584,h00,h00
-0.2958925,h00,h00
-0.29585916,h00,h00
-0.29582582,h00,h00
-0.29579248,h00,h00
-0.29575914,h00,h00
-0.2957258,h00,h00
-0.29569246,h00,h00
-0.29565912,h00,h00
-0.29562578,h00,h00
-0.29559244,h00,h00
-0.2955591,h00,h00
-0.29552576,h00,h00
-0.29549242,h00,h00
-0.29545908,h00,h00
-0.29542574,h00,h00
-0.2953924,h00,h00
-0.29535906,h00,h00
-0.29532572,h00,h00
-0.29529238,h00,h00
-0.29525904,h00,h00
-0.2952257,h00,h00
-0.29519236,h00,h00
-0.29515902,h00,h00
-0.29512568,h00,h00
-0.29509234,h00,h00
-0.295059,h00,h00
-0.29502566,h00,h00
-0.29499232,h00,h00
-0.29495898,h00,h00
-0.29492564,h00,h00
-0.2948923,h00,h00
-0.29485896,h00,h00
-0.29482562,h00,h00
-0.29479228,h00,h00
-0.29475894,h00,h00
-0.2947256,h00,h00
-0.29469226,h00,h00
-0.29465892,h00,h00
-0.29462558,h00,h00
-0.29459224,h00,h00
-0.2945589,h00,h00
-0.29452556,h00,h00
-0.29449222,h00,h00
-0.29445888,h00,h00
-0.29442554,h00,h00
-0.2943922,h00,h00
-0.29435886,h00,h00
-0.29432552,h00,h00
-0.29429218,h00,h00
-0.29425884,h00,h00
-0.2942255,h00,h00
-0.29419216,h00,h00
-0.29415882,h00,h00
-0.29412548,h00,h00
-0.29409214,h00,h00
-0.2940588,h00,h00
-0.29402546,h00,h00
-0.29399212,h00,h00
-0.29395878,h00,h00
-0.29392544,h00,h00
-0.2938921,h00,h00
-0.29385876,h00,h00
-0.29382542,h00,h00
-0.29379208,h00,h00
-0.29375874,h00,h00
-0.2937254,h00,h00
-0.29369206,h00,h00
-0.29365872,h00,h00
-0.29362538,h00,h00
-0.29359204,h00,h00
-0.2935587,h00,h00
-0.29352536,h00,h00
-0.29349202,h00,h00
-0.29345868,h00,h00
-0.29342534,h00,h00
-0.293392,h00,h00
-0.29335866,h00,h00
-0.29332532,h00,h00
-0.29329198,h00,h00
-0.29325864,h00,h00
-0.2932253,h00,h00
-0.29319196,h00,h00
-0.29315862,h00,h00
-0.29312528,h00,h00
-0.29309194,h00,h00
